agent,lat,lon,customer,txn,price
11189,23.9246305,90.2637091,1,1,44.0
82211,22.3633343,91.7814194,38,55,2724.0
6856,23.894725,90.377032,11,18,647.0
71498,22.4502036,91.7358613,1,1,39.0
53292,24.4763876,90.4018575,38,72,3629.0
5874,22.239034,91.8062251,86,206,10957.0
98132,23.6752412,90.5164359,55,88,4883.0
109017,23.760487,90.395875,42,94,5972.0
6602,24.2371216,90.4333009,4,6,382.0
68942,22.315484,91.8061532,13,17,712.0
36000,22.4922391,91.7175931,137,305,18235.0
24069,24.3008555,90.3676145,22,49,2874.0
4192,23.6951825,90.4952458,22,29,1717.0
52216,23.8943497,90.3771304,7,10,628.0
61853,22.6676541,90.69221,1,11,200.0
27988,22.6677566,90.6922928,1,1,18.0
57750,22.6677144,90.6919531,1,4,72.0
22863,25.8884731,89.1820047,228,1610,59044.0
92394,22.6655232,90.6220025,3,3,111.0
106902,25.8459226,89.2386439,29,32,918.0
56530,22.7038692,91.6131677,39,51,3285.0
72044,23.4625804,91.1407377,65,90,5152.0
98045,22.4163061,91.7539871,173,287,13010.0
44595,23.7700041,90.3981441,4,13,601.0
82267,22.3655804,91.7802052,57,75,3871.0
96047,22.2933597,91.7821048,42,72,4008.0
13263,22.6272504,91.6533721,43,67,3747.0
51068,23.9789007,90.3892141,1,1,99.0
55575,24.1903783,90.414138,6,6,305.0
70545,22.2941941,91.7827468,227,567,27263.0
67836,23.754995,90.3950596,1,1,99.0
31075,22.9722588,90.8365933,1,1,99.0
43802,23.7655022,90.3965907,9,19,836.0
4971,23.9789007,90.3892141,3,3,166.0
79423,23.6456002,90.4878694,3,3,307.0
104745,22.3821223,91.809511,3,8,285.0
98522,22.3802862,91.7660756,15,27,1992.0
89469,22.4758691,91.7230135,93,296,13536.0
49012,23.1222363,89.1317418,14,16,873.0
95741,23.0439293,88.8983174,6,6,243.0
49753,23.0408533,88.897615,11,16,756.0
61482,23.6475666,91.0572667,1,1,99.0
8545,23.5634465,90.6714444,26,47,2253.0
74046,24.9663249,91.8739575,14,50,2890.0
50625,23.9643667,91.1060777,5,6,249.0
38350,25.7374091,89.2349977,13,19,660.0
48676,22.369284,91.8177555,19,38,1811.0
42494,22.8702477,91.5420513,14,16,780.0
23171,22.3319151,91.7755104,28,53,2399.0
12723,23.9156988,90.2580434,14,26,1438.0
104116,23.4423891,91.1803005,11,16,1248.0
25598,23.0132266,91.3740482,4,6,215.0
98230,22.318468,91.7976622,24,40,2359.0
2918,24.0133591,90.3091846,4,5,340.0
34589,22.252407,91.791034,308,811,44252.0
89710,24.0310964,90.2549147,41,61,3736.0
42256,22.3279929,91.7893691,5,5,339.0
66193,23.9892227,90.3184392,2,3,146.0
40455,22.3963015,91.7266628,144,225,11563.0
63643,24.1291609,90.412326,12,13,590.0
5303,23.7104628,90.4847811,1,1,69.0
1429,22.9459508,91.4052981,18,18,900.0
48305,23.897391,90.331113,15,22,1390.0
37296,22.3280669,91.7892317,26,30,1404.0
85619,23.8958031,90.3848852,19,22,1405.0
107111,23.8905347,90.3720869,2,3,111.0
87648,22.4922747,91.7181021,30,36,1901.0
46583,22.3675765,91.7795478,3,3,180.0
4306,23.9458512,90.3780074,1,1,38.0
24318,23.667876,90.4663444,1,1,14.0
27689,24.1562053,90.4106036,6,6,484.0
91277,22.5034922,90.7152059,1,1,14.0
75854,23.6931588,90.4879279,3,10,460.0
83809,23.6720062,90.4287472,1,1,63.0
2891,23.6775798,90.4281957,4,6,464.0
102973,23.6584751,90.4478099,3,4,212.0
94517,22.6849251,90.6442625,1,1,34.0
73350,23.6787289,90.3145602,11,21,1093.0
25459,23.6937817,90.4868177,12,21,1095.0
30026,22.3184042,91.8033029,2,2,38.0
56557,22.3151205,91.8054289,13,14,615.0
99907,23.559637,90.6557552,15,22,907.0
35201,25.4955883,89.0551912,1,1,20.0
16606,25.3511448,89.0144976,2,19,458.0
64243,23.7955943,90.4309309,1,10,180.0
1515,25.4517526,89.0134456,1,2,34.0
36440,25.5335023,89.1222984,2,2,94.0
82349,25.3511448,89.0144976,1,1,14.0
97221,25.4127084,89.0391304,1,1,20.0
82430,25.4509716,89.013059,2,2,80.0
85383,25.4274354,89.0378562,1,1,50.0
102226,22.358277,91.8385363,1,1,27.0
76495,25.3310481,89.5461415,15,138,5137.0
7670,22.3484359,91.8303478,2,3,133.0
38731,25.2874946,89.5519188,9,73,1865.0
84146,22.6886679,91.7914077,2,2,32.0
56290,22.6882187,91.7914344,9,95,2017.0
69096,22.3401329,91.791217,12,43,4640.0
44794,23.6525434,90.5786108,69,84,4822.0
9688,23.7328414,90.3675894,4,7,277.0
29704,24.8124484,88.4162603,1,1,30.0
101912,22.3391609,91.7894425,7,15,1107.0
96034,23.5914825,90.6297441,84,149,9688.0
102886,23.8244556,90.258678,1,1,99.0
41889,22.6184794,91.6590449,12,12,843.0
47964,23.914549,90.3942676,1,1,64.0
81583,23.9177896,90.3932036,7,10,593.0
74465,22.3447448,91.7874662,7,7,388.0
105716,22.7767706,89.5932843,2,2,450.0
44722,22.7892658,89.5592357,2,2,70.0
38908,25.2252816,89.2461244,1,1,700.0
82259,23.6207778,91.0025351,2,3,50.0
66122,25.6399397,88.6260952,1,2,140.0
106985,22.4050091,91.9035389,1,1,400.0
71676,23.3305955,90.8251879,1,3,1480.0
13024,23.8190574,90.9905815,1,3,1740.0
95379,22.6541619,89.7759734,1,2,510.0
3721,22.7570102,91.5859277,2,3,1029.0
51393,25.916756,88.9217785,1,1,400.0
64024,23.3672321,89.0523763,1,1,800.0
8097,23.161606,92.1105143,1,9,323.0
11076,24.1948814,90.4250287,1,1,14.0
104797,23.2016125,92.091044,1,1,59.0
54066,24.2515706,89.9149766,1,5,120.0
107682,23.8582743,90.4088323,1,1,24.0
71078,24.1253478,90.3882079,2,2,58.0
34123,23.1740019,92.1080307,1,1,43.0
61241,23.6258333,90.4766109,8,24,1308.0
20666,23.6262331,90.477304,4,7,296.0
12403,25.6835652,89.3301405,64,505,15546.0
8478,23.6269575,90.4764943,11,33,1085.0
33362,23.6192814,90.4860641,13,17,699.0
86181,23.6250787,90.4767365,1,1,59.0
89197,23.6340385,90.473744,3,3,166.0
25590,22.2977573,91.7842167,7,15,443.0
12463,22.3522945,91.760997,10,24,1348.0
16963,22.3522619,91.7610097,11,34,2145.0
95133,24.0893252,91.2853419,2,8,177.0
57121,22.3150322,91.8048603,5,5,189.0
71975,23.9765923,90.3019405,2,3,150.0
88842,22.4705631,91.7244577,4,6,458.0
38859,23.9883581,90.3582135,11,13,840.0
78927,23.9215286,90.6149173,11,11,650.0
25610,24.0527577,90.2680165,2,2,73.0
15112,23.8869617,90.3057083,2,2,108.0
92684,22.2469702,91.790848,46,94,4299.0
75822,24.869656,89.2033247,5,12,535.0
33462,24.4641548,89.5333296,47,99,6004.0
96358,24.9517724,89.349305,2,2,54.0
13483,22.332132,91.821977,12,13,872.0
101386,25.1115861,89.1096909,1,1,14.0
65147,22.9489403,91.1602778,2,2,247.0
21396,24.9519716,89.3486584,1,1,64.0
41682,25.3013949,88.9851203,4,7,318.0
87554,22.3917271,91.7594176,2,2,78.0
1991,25.172581,89.1491209,1,1,99.0
10815,22.3345683,91.8120965,19,27,1325.0
26531,24.8582142,89.35079,6,8,327.0
1144,24.1312633,90.0424217,6,9,475.0
76417,22.393104,91.7580116,29,37,1914.0
36013,24.453155,89.704557,1,1,24.0
21814,24.7566603,89.3967433,1,1,24.0
82485,23.5048067,91.130195,1,6,158.0
17538,23.4635511,91.1768538,2,18,804.0
44501,23.4324456,91.0956135,2,5,105.0
25393,23.432529,91.0954189,2,25,1070.0
27510,25.7500564,89.2513811,81,102,3348.0
4378,23.5562541,91.1261672,2,2,74.0
7230,23.4351433,91.10407,1,1,19.0
22926,22.5177051,91.7067549,6,8,417.0
102323,24.1068698,90.8571398,2,9,514.0
78299,22.2496122,91.7951467,30,37,1937.0
37161,22.3248508,91.8261954,3,3,167.0
104830,24.1588231,90.7109717,1,1,59.0
79406,24.4601795,90.7527964,1,2,123.0
4286,24.0507187,90.9938941,2,2,123.0
34458,24.4464111,90.780695,2,2,69.0
29701,22.323461,91.8210832,8,9,497.0
58148,24.1348197,90.7003016,1,3,211.0
85327,24.4794143,90.6967302,1,2,118.0
73987,22.3244465,91.8248478,3,4,211.0
13508,24.8230221,92.1573484,1,16,824.0
30146,24.8299051,92.1591492,1,2,42.0
90504,24.80939,92.1559383,1,3,142.0
101933,24.5597052,91.2342119,1,1,59.0
49815,23.5470808,90.9497391,1,1,49.0
97909,22.3429947,91.8372366,2,4,236.0
58469,24.8414671,92.1480326,7,11,326.0
107581,22.3381953,91.83568,5,14,826.0
74982,24.8077858,92.1562792,1,1,18.0
107449,22.342578,91.8370603,1,1,59.0
66833,22.3009696,91.7772061,80,151,8413.0
17655,23.5064114,90.6902045,26,40,1721.0
64645,23.5239558,91.0198738,4,4,150.0
109423,23.4572369,91.1745323,1,1,59.0
875,22.368255,91.8331703,2,2,102.0
37056,23.6125068,90.6133962,21,28,1292.0
37596,22.3580587,91.7850464,29,66,2551.0
108441,23.4789184,91.1196316,5,5,370.0
4641,23.2388023,91.1205088,2,2,158.0
63355,24.28837,90.3909617,24,35,2056.0
26567,23.6981467,90.5326476,20,40,2060.0
10939,24.0424267,90.2398226,2,2,208.0
4434,22.3349424,91.7893385,6,17,977.0
109019,23.4194832,91.1721307,11,15,739.0
88498,23.2317886,91.1327225,1,1,59.0
33622,23.724067,90.5106435,12,26,1636.0
78444,22.3481529,91.8129821,7,7,347.0
11476,23.1326002,91.3276492,7,7,492.0
38953,23.6385313,88.8345175,46,668,21339.0
97109,22.3363317,91.8301558,32,253,5889.0
83378,24.899666,91.8526162,1,1,24.0
41244,24.9513528,92.3889217,1,1,19.0
86225,24.8853309,91.8682833,6,16,879.0
50914,24.8776253,91.8935927,3,3,166.0
21345,23.7717792,90.3496115,104,267,9255.0
19967,23.5282529,90.9062354,3,15,565.0
27919,23.5551119,90.9091986,2,2,74.0
52703,23.7708472,90.366016,91,186,6806.0
18002,23.772406,90.3470119,78,208,8115.0
38111,25.7470748,89.2550446,24,24,898.0
70562,23.5896154,90.6315211,57,68,3614.0
104559,23.6203037,90.5015396,1,1,43.0
36837,22.2920548,91.7901752,23,24,1030.0
12245,22.3478782,91.8098918,1,1,27.0
98576,23.6102801,90.5029823,1,3,60.0
9810,22.3488427,91.796967,3,5,315.0
57645,23.696231,90.5021679,1,1,27.0
23465,22.3147608,91.805413,125,196,9076.0
48981,22.2403999,91.8082569,14,22,1134.0
1363,22.3950772,91.872844,8,10,485.0
99348,23.632701,90.4918165,2,2,176.0
11584,22.2937479,91.7818529,147,234,12288.0
102979,22.3096096,91.7962939,18,20,1056.0
58516,22.9488215,91.120706,1,1,27.0
62490,23.4794232,91.0915129,40,57,3901.0
34527,23.5199307,90.9318022,10,10,592.0
23042,24.0075534,90.3260098,9,15,804.0
81053,22.3910302,91.8166771,15,43,1736.0
60979,24.3373411,90.3910061,16,24,1255.0
109105,24.3190358,90.3811466,9,10,524.0
20521,22.4560823,91.7316272,32,40,2067.0
62467,22.4905918,91.7186285,105,158,8854.0
50179,24.4312237,90.3855493,15,21,1135.0
47022,22.3934435,91.7579972,21,39,2673.0
22007,22.4814469,91.7203779,5,6,354.0
69004,22.343934,91.8511905,2,2,88.0
2450,24.1803874,90.435334,1,1,76.0
102627,21.3270332,92.0826909,3,10,349.0
86000,24.5771458,88.7322016,3,4,362.0
95686,21.3158109,92.0939095,2,3,73.0
52444,21.4581383,91.9876939,3,9,415.0
267,21.4423577,91.9805094,7,18,495.0
21432,21.7219838,91.8932188,1,5,135.0
74467,21.7307352,91.8967382,4,14,760.0
98832,24.6746949,89.5145669,29,148,4992.0
7443,21.3225266,92.0835276,1,1,27.0
99727,22.2927913,91.7823471,9,9,443.0
42491,25.8126278,89.7298232,1,1,55.0
11441,23.731368,90.415496,1,1,45.0
38392,23.55336,89.098775,1,1,65.0
30677,25.6029045,89.1922356,2,4,230.0
77254,24.6167618,88.2812424,1,1,25.0
49756,22.3341994,92.186018,1,1,59.0
17100,25.1904224,89.8691544,1,1,59.0
34471,24.8585721,88.864828,1,1,75.0
61916,22.4593123,91.9663889,1,1,75.0
87284,23.9010572,89.1496394,1,1,25.0
96395,23.4079823,90.0410372,1,1,24.0
30094,24.7770724,89.4079262,114,276,8911.0
105327,23.4408668,91.1723205,1,1,35.0
14976,24.953499,89.1065373,1,1,30.0
52350,23.3471013,90.1654465,1,1,40.0
91331,23.4079615,90.040994,1,1,49.0
38555,22.568667,89.3350524,1,1,35.0
74188,24.6306552,90.272146,1,1,50.0
35015,24.0279462,90.2731388,1,1,35.0
50871,24.0016726,89.2469007,1,1,25.0
93263,23.7547792,90.3936457,10,15,1463.0
106183,23.8863483,90.2934725,2,2,123.0
7903,22.267335,91.7988421,5,6,196.0
70841,22.2693322,91.7988162,2,2,46.0
61103,23.9224568,90.3906033,4,9,334.0
79025,24.0149576,90.3022686,1,2,48.0
3496,23.7084611,90.4050445,6,6,316.0
36415,23.925404,90.4405759,6,7,330.0
73358,22.364442,91.8278586,1,1,99.0
50830,23.5412536,90.613288,1,1,99.0
79576,25.9248957,88.8674591,1,1,99.0
54751,25.9305396,88.8399536,1,3,257.0
53081,26.0201523,89.0165819,1,1,59.0
104010,25.9295263,88.8441306,2,9,711.0
34485,25.8090354,89.6406594,2,2,169.0
57470,23.5399448,90.7829124,1,1,99.0
65931,23.5424872,90.7832875,1,1,59.0
97428,24.5176786,91.8743495,1,2,198.0
16668,23.7291201,90.4248109,4,4,221.0
53276,23.908182,90.7094613,3,3,195.0
74970,22.2981413,91.7916603,29,31,1541.0
51330,22.3060827,91.7857838,23,56,2328.0
76848,22.6594245,91.6355463,1,1,27.0
12664,22.2594111,91.8018861,1,1,14.0
3591,23.9311724,90.1510508,3,5,182.0
47725,22.2985721,91.7918452,19,23,1215.0
91942,24.0873806,89.0478306,5,12,466.0
98089,23.934163,89.0841944,24,33,2108.0
